乘隙 顺便
巴结 攀附
煽惑 股东
尴尬 狼狈
以升量石 以小人之心，度君子之腹
信口开喝 信口开河
求全责备 洗垢求瘢
由衷 诚意
灌入 贯注
举不胜举 指不胜屈
剧本 脚本
协定 合同
忍辱负重 降志辱身
只怕 生怕
才子佳人 金童玉女
枉费 白搭
答允 许诺
劫难 灾难
动工 开工
人云亦云 吠影吠声
天怒人怨 怨天忧人
归真反朴 归真反璞
全面 系数
苛虐 荼毒
敝绨恶粟 敝衣粝食
屏声敛息 屏气敛息
对抗 顽抗
知友 知音
注重 珍视
抢先 超过
不理 不睬
洁净 纯洁
蹈其覆辙 重蹈覆辙
把持 独占
宽宏大量 无所不容
人事不省 人事不知
笨拙 蠢笨
木鸡之呆 目瞪口呆
压迫 逼迫
教育 训诲
怨恨 恼恨
本相 真相
惨事 惨剧
终归 终究
势不两立 水火不相容
修建 建筑
显露 露出
疑惑 疑虑
拍案惊奇 拍案称奇
怡悦 痛快
犯上作乱 违法乱纪
互换 交流
散乱 狼籍
瑰丽 绚烂
忠贞不渝 有死无二
勾搭 勾结
大惊小怪 蜀犬吠日
订交 赞同
强暴 粗鲁
口直心快 心直口快
出淤泥而不染 涅而不缁
完满 齐全
亏损 牺牲
尸骸 死尸
以夜继日 夜以继昼
毒辣 狠毒
旺盛 隆盛
坐卧不宁 诚惶诚恐
光景 风景
发起 提倡
棋逢对手 棋逢对手
法则 法规
定例 定规
花街柳巷 花街柳市
散散落落 零七八碎
明珠弹雀 隋珠弹雀
平凡 平常
局限 节制
酒囊饭袋 饭囊衣架
救过不暇 救过不给
喧哗 纷扰
成恳 诚挚
心事 隐衷
委曲求全 逆来顺受
善恶不分 泾渭不分
不愿 不肯
暗淡无光 黯然无色
掩盖 粉饰
深奥 艰深
明争暗斗 明修栈道,暗渡陈仓
夸耀 骄矜
凉快 清凉
恭维 捧场
天造地设 神工鬼斧
沮丧 颓败
人间 尘间
想方设法 挖空心思
离心离德 离经背道
英豪 英雄
血亏 贫血
亲切 挨近
改正 改革
摇摆 摇曳
浑浑噩噩 混混噩噩
男人 男子
傲睨 渺视
罪不容诛 罪孽深重
不同 区别
放心 释怀
急忙 急遽
例行公事 公事公办
婉转 悠扬
得意 愿意
包涵 宥恕
公允 公道
随地随时 随时随地
独占鳌头 超群绝伦
卖国求荣 里通外国
有枝添叶 添枝加叶
积存 积聚
木已成舟 米已成炊
朦拢 隐约
欢天喜地 眉飞色舞
荫蔽 隐蔽
文书 通告
事过境迁 沧海桑田
插翅难逃 插翅难飞
消极 颓唐
大敌当前 生死攸关
后头 背面
断章取义 穿凿附会
装疯卖傻 装聋作哑
不屑一顾 不足挂齿
狐疑 猜忌
意气扬扬 沾沾自喜
忧惧 惶恐
不得要领 不知所云
龟鹤之年 龟鹤遐寿
姑置勿论 存而不论
弹丸之地 方寸之地
墙倒众人推 趁火打劫
连帙累牍 连篇累帙
枯木逢春 花明柳暗
排山倒海 铺天盖地
干练 老成
忏悔 懊悔
伺候 侍奉
修短有命 命中注定
了解 领略
天禀 天资
精致 细腻
暖锅 火锅
奸人 歹徒
英姿飒爽 飒爽英姿
史书 史籍
焚书坑儒 焚典坑儒
纠缠 轇轕
烦恼 纷扰
一面之词 一面之辞
安定 清静
生花妙笔 画龙点睛
空位 空隙
改变 转移
完整 统统
弯曲 转折
遐思 遐想
坚不可摧 根深蒂固
登时 立即
八两半斤 平分秋色
坚不可摧 稳如泰山
借题发挥 大做文章
开除 褫职
显露 清晰
如芒刺背 芒刺在背
心如死灰 心灰意冷
元始 太始
摧毁 破坏
攀龙附凤 附骥攀鸿
不毛之地 穷乡僻壤
卑劣 恶劣
民俗 风气
优点 便宜
主犯 首犯
分说 分辩
委靡不振 面黄肌瘦
乔迁 搬迁
欲望 渴望
以权谋私 营私舞弊
月晕而风 闻一知十
干休 甘休
安定 镇定
巫山云雨 朝云暮雨
勉励 驱策
坎坷 荆棘
圆润 宛转
才占八斗 才高八斗
糜费 虚耗
一文不名 箪食瓢饮
选取 采纳
因循沿袭 墨守成规
豁然开朗 豁然贯通
深奥 渊博
话中带刺 话里带刺
拯救 救助
搬动 移动
按图索骥 照本宣科
万物更新 耳目一新
唾手可及 触手可及
担纲 担负
全力以赴 日理万机
拐弯抹角 曲里拐弯
持之有故 言之有物
恰到好处 恰如其分
线路 闪现
义无反顾 踏破红尘
齿如编贝 齿如齐贝
漫笔 短文
扞拒 抵御
似梦初觉 如梦方醒
冰清水冷 冷冷清清
相接 衔接
捉奸见双 捉贼见赃
赏玩 鉴赏
百川归海 百川朝海
有勇有谋 骁勇善斗
分袂 离别
高堂大厦 高楼大厦
打扮 梳妆
拆台 捣乱
兴盛 富强
一败涂地 瓦解土崩
音容如在 音容宛在
吝啬 爱惜
舍本求末 舍本逐末
城实 赤诚
好奇 纳闷
分开 分离
映现 线路
推波助澜 雪上加霜
坐不安席 坐立不安
吹嘘 揄扬
东奔西撞 东碰西撞
正值 适值
发达 蓬勃
批注 诠释
口齿伶俐 夸夸其谈
利刃 芒刃
亏损 赔本
取消 讪笑
挨门挨户 挨门逐户
祸起萧墙 萧墙之祸
抉目东门 抉目吴门
出世 诞生
客岁 昨年
事倍功半 舍本逐末
分裂 翻脸
五彩斑斓 色彩斑斓
完毕 终了
嘲弄 玩弄
作茧自缚 自食其果
指谪 斥责
满山遍野 漫天遍地
有眼无珠 视而不见
狼吞虎咽 风卷残云
瓮中捉鳖 胜券在握
大概 大致
天花乱坠 言三语四
清晰 清澈
以前 当年
大公无私 舍身求法
正言厉色 疾言厉色
妻子 配头
蜂拥而来 蜂拥而至
判若云泥 判若天渊
首尾相应 首尾相救
伎俩 本事
不吃烟火食 不食人间烟火
漂泊 飘浮
仓促 仓皇
但心 忧郁
浪漫 狂放
情景 状况
兴亡 焕发
互通有无 奔走相告
急不可耐 按捺不住
亲爱 喜爱
声名远播 闻名遐迩
居心叵测 狼心狗肺
恒心 毅力
压迫 抑制
侍奉 奉养
形似 类似
覆盖 遮盖
销子 销钉
隔壁撺椽 隔屋撺椽
摈除 摒除
攀高接贵 趋炎附势
明后 通明
流传千古 流芳百世
死别 永别
金科玉律 金科玉条
估计 猜测
列国 各国
亏损 损失
伪饰 造作
宛延 曲折
平缓 缓和
暗送秋波 脉脉含情
寂寞 寂寥
住户 居民
无所畏惧 无私无畏
依人作嫁 寄人篱下
古书 旧书
循序 递次
斗鸡走狗 无所事事
方位 方向
心在魏阙 心瞻魏阙
甜言蜜语 言不由衷
得意洋洋 眉飞色舞
开头 起首
量才录用 陈力就列
济世安民 济世安邦
切记 紧记
伯仲之间 大同小异
松弛 浮松
决一死战 破釜沉舟
奴仆 跟班
一向 从来
美名 隽誉
锻练 陶冶
枉口嚼舌 枉口诳舌
浩然之气 浩然正气
岁暮 年尾
